 	195
 сказал	151
 а	83
 я	76
 и	76
я не	73
что я	63
потому что	63
сказал я	62
 отвечал	61
 да	53
я 	46
он 	44
что он	43
 что	43
сказал он	41
у меня	41
может быть	41
и я	40
максим максимыч	36
и не	34
 вы	34
на меня	34
что она	33
 не	31
я ему	31
ничего не	31
ко мне	30
 спросил	28
если б	28
он был	26
у него	24
в самом	24
я был	24
 сказала	23
что вы	23
что ты	23
но я	23
 как	22
 ты	22
спросил я	22
самом деле	22
никогда не	22
отвечал он	22
что это	21
 в	21
не мог	21
меня не	21
отвечал я	21
не было	21
все что	21
она не	20
григорий александрович	20
он не	20
между тем	20
как я	20
что ж	19
в этом	19
 нет	19
сказала она	19
не знаю	19
я вам	19
когда я	19
 это	18
а что	18
в эту	17
мне в	17
с вами	17
 закричал	17
все это	17
и в	17
 он	17
с ним	16
и мы	16
 ну	16
с тех	16
она мне	16
как будто	16
с нею	16
к нему	16
тех пор	16
 только	16
 она	16
 продолжал	15
что за	15
 все	15
ему 	15
я стал	15
да и	15
и сказал	15
подошел к	14
и она	14
то есть	14
меня в	14
она была	14
я думаю	14
подумал я	14
ли я	14
он мне	14
 говорил	14
 подумал	14
эту минуту	14
у них	14
на его	14
а я	13
и стал	13
я с	13
то я	13
прибавил он	13
 у	13
что в	13
я его	13
она 	13
к ней	13
то что	13
 прибавил	13
мне стало	13
несмотря на	13
и он	13
франц 	13
ее не	13
грушницкий 	13
за что	13
да я	13
на нее	13
 мы	13
я вас	13
только не	13
не может	12
и мне	12
вовсе не	12
уж не	12
 ведь	12
меня 	12
и что	12
когда он	12
никто не	12
руку и	12
вы меня	12
на него	12
за руку	12
что не	12
доктор 	12
 мне	12
мы с	11
так что	11
я ее	11
мне не	11
и с	11
 вот	11
я подошел	11
в первый	11
я ей	11
первый раз	11
я в	11
ты не	11
я так	11
не видал	11
обо мне	11
на свете	11
го июня	11
что мы	10
 на	10
что мне	10
я все	10
заметил что	10
один из	10
вы мне	10
не то	10
том что	10
его за	10
из тех	10
было бы	10
я видел	10
с ними	10
правда ли	10
у вас	10
за ним	10
у нас	10
и тогда	10
что на	10
я бы	10
пор как	10
что они	10
еще не	10
этого не	10
 послушай	10
 или	9
это было	9
мне 	9
меня за	9
 но	9
крайней мере	9
меня и	9
что у	9
мне было	9
о том	9
у окна	9
он меня	9
раза два	9
и к	9
не правда	9
однако ж	9
у колодца	9
печорин 	9
по крайней	9
это 	9
максимыч 	9
но она	9
мне и	9
в это	9
я велел	9
в ее	9
если вы	9
я никогда	9
когда она	9
и если	9
в крепость	9
на другой	9
только что	9
ну что	9
капитан 	9
я мог	9
драгунский капитан	9
как вы	9
со мною	9
тогда как	8
на лице	8
и так	8
я и	8
бог знает	8
а вы	8
максима максимыча	8
для меня	8
и все	8
а если	8
 теперь	8
на кавказе	8
что с	8
не будет	8
и на	8
ну да	8
б я	8
я могу	8
мне на	8
больше не	8
посмотрел на	8
и начал	8
в глаза	8
за это	8
на все	8
 хорошо	8
меня на	8
так и	8
за нею	8
я пошел	8
и точно	8
вы думаете	8
и как	8
его 	8
как он	8
но в	8
в окно	8
к чему	8
и вот	8
 если	8
на шею	8
я слышал	8
вам не	8
я тебе	8
я должен	8
как она	8
это время	8
я буду	8
видите ли	7
таким образом	7
что если	7
несколько минут	7
ни за	7
в их	7
 отвечала	7
я встретил	7
я у	7
в крепости	7
руку 	7
голову на	7
его в	7
как можно	7
 господа	7
как мы	7
как все	7
что 	7
 о	7
отвечала она	7
я думал	7
ни одного	7
на земле	7
на водку	7
тому назад	7
отчего же	7
я хочу	7
против меня	7
 уж	7
я на	7
после этого	7
я узнал	7
я невольно	7
 разве	7
го мая	7
глаза и	7
на краю	7
это не	7
и наконец	7
вот что	7
мне показалось	7
между ними	7
ему в	7
княжна мери	7
во все	7
глаза ее	7
не в	7
но что	7
каждый день	7
уверен что	7
на дворе	7
мы не	7
те же	7
я знаю	7
что было	7
а не	7
не люблю	7
ли вы	7
ее 	7
в том	7
с княжной	7
только в	7
 отчего	7
вы не	7
я тебя	7
на нем	7
проходя мимо	7
во мне	7
я всегда	7
я имел	7
со мной	7
целый день	6
боже мой	6
для себя	6
оттого что	6
 то	6
я заметил	6
жизни и	6
в его	6
через час	6
 зачем	6
знаю что	6
 был	6
а вот	6
от него	6
из крепости	6
никого не	6
мы были	6
казбич 	6
 так	6
его не	6
нет 	6
я хотел	6
по временам	6
я отвечал	6
вместе с	6
взад и	6
на грудь	6
на минуту	6
как это	6
его и	6
я начал	6
а ты	6
я долго	6
у нее	6
закричал я	6
ни одной	6
не был	6
ли 	6
 ничего	6
люблю я	6
уж я	6
мы расстались	6
ее с	6
я сел	6
вы сами	6
я люблю	6
в этот	6
я остановился	6
что же	6
сидела на	6
того чтоб	6
и вперед	6
хотите ли	6
в ущелье	6
я ни	6
что княжна	6
но он	6
не хочу	6
за мной	6
для тебя	6
они не	6
все 	6
чтоб я	6
раз как	6
до сих	6
ее в	6
вы хотите	6
с грушницким	6
жаль что	6
познакомиться с	6
я ничего	6
отвечал что	6
в моих	6
азамат 	6
об этом	6
сих пор	6
штабс-капитан 	6
на вершине	6
у тебя	6
голосом 	6
и может	6
не могу	6
я уж	6
княгиня лиговская	6
во всем	6
по комнате	6
ему на	6
друг друга	6
из них	6
только я	6
их не	6
в душе	6
ни слова	6
тебя 	6
и ты	6
и потом	6
чтоб не	6
другой день	6
ведь вы	6
а как	6
и вдруг	6
очень важно	6
ее руку	6
мне все	5
два часа	5
давно уж	5
для вас	5
не хотел	5
в петербурге	5
должен был	5
не знает	5
не хотите	5
вы 	5
он на	5
правда 	5
в моей	5
мог бы	5
в своей	5
в продолжение	5
это меня	5
мою душу	5
быть я	5
так же	5
она посмотрела	5
уверена что	5
почему я	5
мы знаем	5
я к	5
отвечал мне	5
на них	5
от них	5
вас не	5
 ни	5
разговор 	5
говоря что	5
я уверен	5
цвет лица	5
и пошел	5
в ней	5
после обеда	5
через несколько	5
в нем	5
сказал 	5
его я	5
от нее	5
чуть-чуть не	5
то и	5
в сторону	5
меня с	5
меня я	5
ли что	5
несколько раз	5
тут он	5
в лодку	5
слава богу	5
и между	5
наконец мы	5
грушницкого 	5
и только	5
ни о	5
даже не	5
на ее	5
о я	5
за княжной	5
вера 	5
очень рад	5
ты будешь	5
было темно	5
вы может	5
в один	5
но только	5
в этой	5
я дал	5
знаешь ли	5
между нами	5
минуты когда	5
я любил	5
с этой	5
все в	5
с ней	5
показалось что	5
нынче поутру	5
по столу	5
что такое	5
в них	5
передо мною	5
думаете что	5
для того	5
бы мне	5
человека и	5
как на	5
на берег	5
 напротив	5
она сидела	5
со всех	5
а кто	5
нечего делать	5
тебя люблю	5
продолжал он	5
к окну	5
нашего времени	5
вот мы	5
а мне	5
ни на	5
мне я	5
сказал мне	5
и тут	5
продолжал я	5
с собой	5
уж был	5
некоторого молчания	5
от своей	5
посмотрела на	5
теперь я	5
у ворот	5
молодой человек	5
на это	5
я еще	5
после некоторого	5
ли он	5
на стол	5
вряд ли	5
только он	5
ли это	5
как вдруг	5
а уж	5
 разумеется	5
я их	5
я им	5
и вероятно	5
она с	5
покачала головой	5
опустив голову	5
княжна 	5
да не	5
и вышел	5
говорил я	5
если я	5
бэла 	5
должно быть	5
и по	5
всех сторон	5
на то	5
о чем	5
еще с	5
мне руку	5
можно было	5
в москве	5
всякий раз	5
в груди	5
на ней	5
 печорин	5
зачем же	5
на том	5
было что-то	5
слепой 	5
однако я	5
объявил что	5
к княгине	5
 вам	5
я вышел	5
от этого	5
 говорила	5
вот как	5
меня есть	5
на водах	5
а там	5
в глазах	5
что печорин	5
если ты	5
я только	5
а потом	5
ближе и	5
из нас	5
не так	5
не отвечал	4
видел что	4
на что	4
герой нашего	4
мы и	4
мне казалось	4
за собою	4
вы знаете	4
знаешь что	4
покраснела и	4
григорью александровичу	4
а у	4
я чувствовал	4
нет я	4
солдатская шинель	4
с криком	4
не совсем	4
делать я	4
штабс-капитана 	4
с презрением	4
не стоит	4
все так	4
в своем	4
пожал плечами	4
две минуты	4
 может	4
он взял	4
не знал	4
я даже	4
 правда	4
видел как	4
этот раз	4
она как	4
 ах	4
да еще	4
не помню	4
да что	4
к этому	4
говорил он	4
мой друг	4
 конечно	4
но ты	4
но теперь	4
не сказал	4
пожалуйста не	4
мы пошли	4
что все	4
сказала что	4
тем что	4
и скоро	4
есть ли	4
надо мною	4
человек 	4
шести шагах	4
я также	4
 грушницкий	4
до самого	4
было с	4
но мне	4
до меня	4
под руку	4
а то	4
мимо меня	4
голос 	4
знаете что	4
и быстро	4
возле нее	4
у забора	4
руками 	4
в голову	4
в таком	4
ли она	4
я вовсе	4
был ответ	4
если хотите	4
 оттого	4
а все	4
меня к	4
к счастью	4
я готов	4
 неужели	4
 скажи	4
думал я	4
в персию	4
у княгини	4
 году	4
 послушайте	4
надо было	4
что меня	4
 однако	4
один голос	4
продолжал 	4
ну так	4
же 	4
я для	4
над нами	4
закрыл глаза	4
на скамью	4
улыбаясь 	4
указывая на	4
и есть	4
мы будем	4
другой раз	4
 кричал	4
раз не	4
надо вам	4
видно было	4
будто не	4
 наконец	4
молчал 	4
она его	4
прим лермонтова	4
он и	4
он в	4
он с	4
поверите ли	4
на моем	4
в залу	4
 помилуйте	4
на землю	4
дело 	4
же самое	4
темно и	4
а мы	4
он ее	4
 меня	4
это дело	4
не спал	4
на самом	4
я нашел	4
сказал кто-то	4
по узкой	4
это значит	4
не должно	4
правильный нос	4
 кто	4
угодно 	4
дочь ее	4
я ехал	4
их 	4
пять лет	4
выстрел раздался	4
с лиговскими	4
так уж	4
минуту я	4
на постель	4
я чувствую	4
так 	4
кто-то 	4
грушницкий стоял	4
как ни	4
я до	4
так я	4
если он	4
один и	4
у себя	4
лошадь и	4
верхом и	4
тем более	4
ни один	4
не любит	4
ты должен	4
бы не	4
максимом максимычем	4
знаю 	4
не менее	4
я остался	4
на бульваре	4
другую комнату	4
как в	4
душе моей	4
ее у	4
ее к	4
веры и	4
в голове	4
 потому	4
 господин	4
с негодованием	4
которого я	4
если она	4
ты хочешь	4
и сел	4
же он	4
было много	4
 где	4
я умру	4
и объявил	4
ей стало	4
долго наконец	4
груди моей	4
часов вечера	4
что без	4
 никогда	4
в 	4
